schema_version	contrast_index	kda_run_id	source_contrast_id	fine_cell_type	broad_cell_type	signature_group	sex	apoe_group	query_mode	cells_ad	cells_nci	donors_ad	donors_nci	phase08_terminal_status	minimum_cells_per_deg_arm	passes_cell_floor	candidate_query_genes	effective_query_genes	minimum_effective_query_genes	passes_query_floor	phase12_eligibility_status	phase12_terminal_status	phase12_returned_driver_count	included_at_thresholds	exclusion_reason
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	12	primary_Exc_L5_6_IT_Car3_F_e2_AD_both_mito	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e2	Exc L5/6 IT Car3	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	174	699	8	16	validated_complete	3	TRUE	111	102	3	TRUE	eligible	completed_significant	50	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	13	primary_Exc_L5_6_NP_F_e2_AD_both_mito	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e2	Exc L5/6 NP	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	201	637	8	17	validated_complete	3	TRUE	24	22	3	TRUE	eligible	completed_significant	10	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	14	primary_Exc_L6_CT_F_e2_AD_both_mito	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e2	Exc L6 CT	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	298	712	8	16	validated_complete	3	TRUE	12	11	3	TRUE	eligible	completed_significant	11	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	15	primary_Exc_L6_THEMIS_NFIA_F_e2_AD_both_mito	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e2	Exc L6 THEMIS NFIA	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	839	2594	8	16	validated_complete	3	TRUE	139	106	3	TRUE	eligible	completed_significant	48	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	16	primary_Exc_L6b_F_e2_AD_both_mito	excitatory_set3::Exc L6b::AD_vs_NCI__Female__e2	Exc L6b	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	247	749	8	16	validated_complete	3	TRUE	18	15	3	TRUE	eligible	completed_significant	1	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	17	primary_Exc_NRGN_F_e2_AD_both_mito	excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e2	Exc NRGN	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	332	782	8	17	validated_complete	3	TRUE	1	1	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	18	primary_Exc_RELN_CHD7_F_e2_AD_both_mito	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e2	Exc RELN CHD7	Excitatory_neurons	F_e2	Female	e2	AD_both_mito	160	6923	8	17	validated_complete	3	TRUE	28	23	3	TRUE	eligible	completed_significant	4	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	19	primary_Inh_ALCAM_TRPM3_F_e2_AD_both_mito	inhibitory::Inh ALCAM TRPM3::AD_vs_NCI__Female__e2	Inh ALCAM TRPM3	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	132	451	8	15	validated_complete	3	TRUE	10	10	3	TRUE	eligible	completed_significant	4	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	20	primary_Inh_CUX2_MSR1_F_e2_AD_both_mito	inhibitory::Inh CUX2 MSR1::AD_vs_NCI__Female__e2	Inh CUX2 MSR1	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	142	967	8	16	validated_complete	3	TRUE	4	4	3	TRUE	eligible	completed_significant	10	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	21	primary_Inh_ENOX2_SPHKAP_F_e2_AD_both_mito	inhibitory::Inh ENOX2 SPHKAP::AD_vs_NCI__Female__e2	Inh ENOX2 SPHKAP	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	119	524	8	16	validated_complete	3	TRUE	1	1	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	22	primary_Inh_FBN2_EPB41L4A_F_e2_AD_both_mito	inhibitory::Inh FBN2 EPB41L4A::AD_vs_NCI__Female__e2	Inh FBN2 EPB41L4A	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	95	216	8	15	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	23	primary_Inh_GPC5_RIT2_F_e2_AD_both_mito	inhibitory::Inh GPC5 RIT2::AD_vs_NCI__Female__e2	Inh GPC5 RIT2	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	65	186	8	16	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	24	primary_Inh_L1_PAX6_CA4_F_e2_AD_both_mito	inhibitory::Inh L1 PAX6 CA4::AD_vs_NCI__Female__e2	Inh L1 PAX6 CA4	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	62	180	8	15	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	25	primary_Inh_L1_2_PAX6_SCGN_F_e2_AD_both_mito	inhibitory::Inh L1-2 PAX6 SCGN::AD_vs_NCI__Female__e2	Inh L1-2 PAX6 SCGN	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	19	59	5	13	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	26	primary_Inh_L1_6_LAMP5_CA13_F_e2_AD_both_mito	inhibitory::Inh L1-6 LAMP5 CA13::AD_vs_NCI__Female__e2	Inh L1-6 LAMP5 CA13	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	173	621	8	16	validated_complete	3	TRUE	5	5	3	TRUE	eligible	completed_significant	9	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	27	primary_Inh_L3_5_SST_MAFB_F_e2_AD_both_mito	inhibitory::Inh L3-5 SST MAFB::AD_vs_NCI__Female__e2	Inh L3-5 SST MAFB	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	168	916	8	16	validated_complete	3	TRUE	8	8	3	TRUE	eligible	completed_significant	8	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	28	primary_Inh_L5_6_PVALB_STON2_F_e2_AD_both_mito	inhibitory::Inh L5-6 PVALB STON2::AD_vs_NCI__Female__e2	Inh L5-6 PVALB STON2	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	68	205	8	16	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	29	primary_Inh_L5_6_SST_TH_F_e2_AD_both_mito	inhibitory::Inh L5-6 SST TH::AD_vs_NCI__Female__e2	Inh L5-6 SST TH	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	59	164	8	16	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	30	primary_Inh_L6_SST_NPY_F_e2_AD_both_mito	inhibitory::Inh L6 SST NPY::AD_vs_NCI__Female__e2	Inh L6 SST NPY	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	15	32	7	13	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	31	primary_Inh_LAMP5_NRG1_Rosehip_F_e2_AD_both_mito	inhibitory::Inh LAMP5 NRG1 (Rosehip)::AD_vs_NCI__Female__e2	Inh LAMP5 NRG1 (Rosehip)	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	299	965	8	17	validated_complete	3	TRUE	10	9	3	TRUE	eligible	completed_significant	14	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	32	primary_Inh_LAMP5_RELN_F_e2_AD_both_mito	inhibitory::Inh LAMP5 RELN::AD_vs_NCI__Female__e2	Inh LAMP5 RELN	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	70	339	7	14	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	33	primary_Inh_PTPRK_FAM19A1_F_e2_AD_both_mito	inhibitory::Inh PTPRK FAM19A1::AD_vs_NCI__Female__e2	Inh PTPRK FAM19A1	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	111	427	8	15	validated_complete	3	TRUE	1	1	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	34	primary_Inh_PVALB_CA8_Chandelier_F_e2_AD_both_mito	inhibitory::Inh PVALB CA8 (Chandelier)::AD_vs_NCI__Female__e2	Inh PVALB CA8 (Chandelier)	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	173	596	8	16	validated_complete	3	TRUE	3	3	3	TRUE	eligible	completed_significant	9	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	35	primary_Inh_PVALB_HTR4_F_e2_AD_both_mito	inhibitory::Inh PVALB HTR4::AD_vs_NCI__Female__e2	Inh PVALB HTR4	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	484	1654	8	16	validated_complete	3	TRUE	64	50	3	TRUE	eligible	completed_significant	13	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	36	primary_Inh_PVALB_SULF1_F_e2_AD_both_mito	inhibitory::Inh PVALB SULF1::AD_vs_NCI__Female__e2	Inh PVALB SULF1	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	310	766	8	16	validated_complete	3	TRUE	15	12	3	TRUE	eligible	completed_significant	9	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	37	primary_Inh_RYR3_TSHZ2_F_e2_AD_both_mito	inhibitory::Inh RYR3 TSHZ2::AD_vs_NCI__Female__e2	Inh RYR3 TSHZ2	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	294	919	8	16	validated_complete	3	TRUE	4	4	3	TRUE	eligible	completed_significant	10	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	38	primary_Inh_SGCD_PDE3A_F_e2_AD_both_mito	inhibitory::Inh SGCD PDE3A::AD_vs_NCI__Female__e2	Inh SGCD PDE3A	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	51	133	8	16	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	39	primary_Inh_SORCS1_TTN_F_e2_AD_both_mito	inhibitory::Inh SORCS1 TTN::AD_vs_NCI__Female__e2	Inh SORCS1 TTN	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	115	377	8	14	validated_complete	3	TRUE	1	1	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	40	primary_Inh_VIP_ABI3BP_F_e2_AD_both_mito	inhibitory::Inh VIP ABI3BP::AD_vs_NCI__Female__e2	Inh VIP ABI3BP	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	174	487	8	16	validated_complete	3	TRUE	3	3	3	TRUE	eligible	completed_significant	12	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	41	primary_Inh_VIP_CLSTN2_F_e2_AD_both_mito	inhibitory::Inh VIP CLSTN2::AD_vs_NCI__Female__e2	Inh VIP CLSTN2	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	196	714	8	16	validated_complete	3	TRUE	2	2	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	42	primary_Inh_VIP_THSD7B_F_e2_AD_both_mito	inhibitory::Inh VIP THSD7B::AD_vs_NCI__Female__e2	Inh VIP THSD7B	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	57	319	8	14	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	43	primary_Inh_VIP_TSHZ2_F_e2_AD_both_mito	inhibitory::Inh VIP TSHZ2::AD_vs_NCI__Female__e2	Inh VIP TSHZ2	Inhibitory_neurons	F_e2	Female	e2	AD_both_mito	139	517	8	16	validated_complete	3	TRUE	3	3	3	TRUE	eligible	completed_significant	9	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	44	primary_Mic_MKI67_F_e2_AD_both_mito	immune::Mic MKI67::AD_vs_NCI__Female__e2	Mic MKI67	Microglia	F_e2	Female	e2	AD_both_mito	16	8	5	3	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	45	primary_Mic_P2RY12_F_e2_AD_both_mito	immune::Mic P2RY12::AD_vs_NCI__Female__e2	Mic P2RY12	Microglia	F_e2	Female	e2	AD_both_mito	1012	2370	8	17	validated_complete	3	TRUE	25	25	3	TRUE	eligible	completed_significant	1	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	46	primary_Mic_TPT1_F_e2_AD_both_mito	immune::Mic TPT1::AD_vs_NCI__Female__e2	Mic TPT1	Microglia	F_e2	Female	e2	AD_both_mito	71	176	7	16	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	47	primary_OPC_F_e2_AD_both_mito	opcs::OPC::AD_vs_NCI__Female__e2	OPC	OPCs	F_e2	Female	e2	AD_both_mito	1325	3748	8	17	validated_complete	3	TRUE	27	16	3	TRUE	eligible	completed_no_significant	0	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	48	primary_Oli_F_e2_AD_both_mito	oligodendrocytes::Oli::AD_vs_NCI__Female__e2	Oli	Oligodendrocytes	F_e2	Female	e2	AD_both_mito	11733	21373	8	17	validated_complete	3	TRUE	12	8	3	TRUE	eligible	completed_no_significant	0	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	49	primary_T_cells_F_e2_AD_both_mito	immune::T cells::AD_vs_NCI__Female__e2	T cells	T_cells	F_e2	Female	e2	AD_both_mito	38	83	7	14	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	50	primary_End_F_e2_AD_both_mito	vasculature::End::AD_vs_NCI__Female__e2	End	Vasculature_cells	F_e2	Female	e2	AD_both_mito	51	215	7	15	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	51	primary_Fib_FLRT2_F_e2_AD_both_mito	vasculature::Fib FLRT2::AD_vs_NCI__Female__e2	Fib FLRT2	Vasculature_cells	F_e2	Female	e2	AD_both_mito	84	141	6	17	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	52	primary_Fib_SLC4A4_F_e2_AD_both_mito	vasculature::Fib SLC4A4::AD_vs_NCI__Female__e2	Fib SLC4A4	Vasculature_cells	F_e2	Female	e2	AD_both_mito	36	7	3	4	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	53	primary_Per_F_e2_AD_both_mito	vasculature::Per::AD_vs_NCI__Female__e2	Per	Vasculature_cells	F_e2	Female	e2	AD_both_mito	63	167	8	13	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	54	primary_SMC_F_e2_AD_both_mito	vasculature::SMC::AD_vs_NCI__Female__e2	SMC	Vasculature_cells	F_e2	Female	e2	AD_both_mito	16	53	5	11	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	55	primary_Ast_CHI3L1_F_e33_AD_both_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	Ast CHI3L1	Astrocytes	F_e33	Female	e33	AD_both_mito	1974	3186	35	43	validated_complete	3	TRUE	58	45	3	TRUE	eligible	completed_significant	1	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	56	primary_Ast_DPP10_F_e33_AD_both_mito	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_both_mito	2867	4084	37	45	validated_complete	3	TRUE	13	9	3	TRUE	eligible	completed_no_significant	0	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	57	primary_Ast_GRM3_F_e33_AD_both_mito	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	Ast GRM3	Astrocytes	F_e33	Female	e33	AD_both_mito	9577	10462	37	45	validated_complete	3	TRUE	7	6	3	TRUE	eligible	completed_significant	4	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	58	primary_CAMs_F_e33_AD_both_mito	immune::CAMs::AD_vs_NCI__Female__e33	CAMs	CAMs	F_e33	Female	e33	AD_both_mito	185	255	29	38	validated_complete	3	TRUE	0	0	3	FALSE	effective_query_below_minimum	skipped_effective_query_below_minimum	0	FALSE	minimum_effective_query_genes_not_met
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	59	primary_Exc_L2_3_CBLN2_LINC02306_F_e33_AD_both_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e33	Female	e33	AD_both_mito	26574	34425	37	45	validated_complete	3	TRUE	17	15	3	TRUE	eligible	completed_significant	11	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	60	primary_Exc_L3_4_RORB_CUX2_F_e33_AD_both_mito	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e33	Exc L3-4 RORB CUX2	Excitatory_neurons	F_e33	Female	e33	AD_both_mito	18264	20834	37	45	validated_complete	3	TRUE	31	24	3	TRUE	eligible	completed_significant	14	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	61	primary_Exc_L3_5_RORB_PLCH1_F_e33_AD_both_mito	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e33	Exc L3-5 RORB PLCH1	Excitatory_neurons	F_e33	Female	e33	AD_both_mito	3926	3978	37	45	validated_complete	3	TRUE	34	30	3	TRUE	eligible	completed_significant	11	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	62	primary_Exc_L4_5_RORB_GABRG1_F_e33_AD_both_mito	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e33	Exc L4-5 RORB GABRG1	Excitatory_neurons	F_e33	Female	e33	AD_both_mito	8766	9737	37	45	validated_complete	3	TRUE	22	18	3	TRUE	eligible	completed_significant	8	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	63	primary_Exc_L4_5_RORB_IL1RAPL2_F_e33_AD_both_mito	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	F_e33	Female	e33	AD_both_mito	12683	13885	37	45	validated_complete	3	TRUE	19	14	3	TRUE	eligible	completed_significant	8	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	64	primary_Exc_L5_ET_F_e33_AD_both_mito	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e33	Exc L5 ET	Excitatory_neurons	F_e33	Female	e33	AD_both_mito	322	364	35	41	validated_complete	3	TRUE	12	12	3	TRUE	eligible	completed_significant	12	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	65	primary_Exc_L5_6_RORB_LINC02196_F_e33_AD_both_mito	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e33	Exc L5-6 RORB LINC02196	Excitatory_neurons	F_e33	Female	e33	AD_both_mito	2433	2664	37	45	validated_complete	3	TRUE	28	24	3	TRUE	eligible	completed_significant	9	TRUE	NA
phase20_sexapoe_kda_simple_aggr_combo_v1_run_manifest	66	primary_Exc_L5_6_IT_Car3_F_e33_AD_both_mito	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e33	Exc L5/6 IT Car3	Excitatory_neurons	F_e33	Female	e33	AD_both_mito	1964	2051	37	45	validated_complete	3	TRUE	38	25	3	TRUE	eligible	completed_significant	5	TRUE	NA
