query_order	query_id	background_id	contrast_order	contrast_id	kda_run_id	rds_id	fine_cell_type	broad_cell_type	signature_group	sex	apoe_group	query_mode	query_direction	structural_status	structurally_available	source_significant_feature_rows	mapped_unique_query_genes	duplicate_symbol_collapses	query_size	background_size	query_status	schema_version
14	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33::AD_up_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	5	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	NA	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_up_mito	up	estimable_validated	TRUE	20	20	0	20	656	testable_query	fine_deg_pathway_query_manifest_v1
15	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33::AD_down_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	5	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	NA	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_down_mito	down	estimable_validated	TRUE	12	12	0	12	656	testable_query	fine_deg_pathway_query_manifest_v1
16	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4::AD_any_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	6	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	NA	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_any_mito	any	estimable_validated	TRUE	62	62	0	62	547	testable_query	fine_deg_pathway_query_manifest_v1
17	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4::AD_up_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	6	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	NA	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_up_mito	up	estimable_validated	TRUE	23	23	0	23	547	testable_query	fine_deg_pathway_query_manifest_v1
18	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4::AD_down_mito	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	6	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	NA	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_down_mito	down	estimable_validated	TRUE	39	39	0	39	547	testable_query	fine_deg_pathway_query_manifest_v1
19	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2::AD_any_mito	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	7	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	NA	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_any_mito	any	estimable_validated	TRUE	18	18	0	18	448	testable_query	fine_deg_pathway_query_manifest_v1
20	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2::AD_up_mito	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	7	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	NA	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_up_mito	up	estimable_validated	TRUE	9	9	0	9	448	testable_query	fine_deg_pathway_query_manifest_v1
21	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2::AD_down_mito	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	7	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	NA	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_down_mito	down	estimable_validated	TRUE	9	9	0	9	448	testable_query	fine_deg_pathway_query_manifest_v1
22	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33::AD_any_mito	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	8	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	NA	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_any_mito	any	estimable_validated	TRUE	13	13	0	13	491	testable_query	fine_deg_pathway_query_manifest_v1
23	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33::AD_up_mito	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	8	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	NA	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_up_mito	up	estimable_validated	TRUE	6	6	0	6	491	testable_query	fine_deg_pathway_query_manifest_v1
24	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33::AD_down_mito	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	8	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	NA	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_down_mito	down	estimable_validated	TRUE	7	7	0	7	491	testable_query	fine_deg_pathway_query_manifest_v1
25	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4::AD_any_mito	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	9	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	NA	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_any_mito	any	estimable_validated	TRUE	35	35	0	35	526	testable_query	fine_deg_pathway_query_manifest_v1
26	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4::AD_up_mito	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	9	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	NA	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_up_mito	up	estimable_validated	TRUE	6	6	0	6	526	testable_query	fine_deg_pathway_query_manifest_v1
27	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4::AD_down_mito	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	9	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	NA	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_down_mito	down	estimable_validated	TRUE	29	29	0	29	526	testable_query	fine_deg_pathway_query_manifest_v1
28	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2::AD_any_mito	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	10	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	NA	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_any_mito	any	estimable_validated	TRUE	102	102	0	102	454	testable_query	fine_deg_pathway_query_manifest_v1
29	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2::AD_up_mito	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	10	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	NA	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_up_mito	up	estimable_validated	TRUE	71	71	0	71	454	testable_query	fine_deg_pathway_query_manifest_v1
30	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2::AD_down_mito	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	10	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	NA	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_down_mito	down	estimable_validated	TRUE	31	31	0	31	454	testable_query	fine_deg_pathway_query_manifest_v1
31	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33::AD_any_mito	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	11	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	NA	astrocytes	Ast DPP10	Astrocytes	M_e33	Male	e33	AD_any_mito	any	estimable_validated	TRUE	10	10	0	10	486	testable_query	fine_deg_pathway_query_manifest_v1
32	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33::AD_up_mito	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	11	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	NA	astrocytes	Ast DPP10	Astrocytes	M_e33	Male	e33	AD_up_mito	up	estimable_validated	TRUE	6	6	0	6	486	testable_query	fine_deg_pathway_query_manifest_v1
33	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33::AD_down_mito	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	11	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	NA	astrocytes	Ast DPP10	Astrocytes	M_e33	Male	e33	AD_down_mito	down	estimable_validated	TRUE	4	4	0	4	486	testable_query	fine_deg_pathway_query_manifest_v1
34	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4::AD_any_mito	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	12	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	NA	astrocytes	Ast DPP10	Astrocytes	M_e4	Male	e4	AD_any_mito	any	estimable_validated	TRUE	63	63	0	63	497	testable_query	fine_deg_pathway_query_manifest_v1
35	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4::AD_up_mito	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	12	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	NA	astrocytes	Ast DPP10	Astrocytes	M_e4	Male	e4	AD_up_mito	up	estimable_validated	TRUE	32	32	0	32	497	testable_query	fine_deg_pathway_query_manifest_v1
36	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4::AD_down_mito	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	12	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	NA	astrocytes	Ast DPP10	Astrocytes	M_e4	Male	e4	AD_down_mito	down	estimable_validated	TRUE	31	31	0	31	497	testable_query	fine_deg_pathway_query_manifest_v1
37	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2::AD_any_mito	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	13	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	NA	astrocytes	Ast GRM3	Astrocytes	F_e2	Female	e2	AD_any_mito	any	estimable_validated	TRUE	98	98	0	98	596	testable_query	fine_deg_pathway_query_manifest_v1
38	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2::AD_up_mito	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	13	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	NA	astrocytes	Ast GRM3	Astrocytes	F_e2	Female	e2	AD_up_mito	up	estimable_validated	TRUE	70	70	0	70	596	testable_query	fine_deg_pathway_query_manifest_v1
39	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2::AD_down_mito	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	13	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	NA	astrocytes	Ast GRM3	Astrocytes	F_e2	Female	e2	AD_down_mito	down	estimable_validated	TRUE	28	28	0	28	596	testable_query	fine_deg_pathway_query_manifest_v1
40	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33::AD_any_mito	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	14	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	NA	astrocytes	Ast GRM3	Astrocytes	F_e33	Female	e33	AD_any_mito	any	estimable_validated	TRUE	7	7	0	7	588	testable_query	fine_deg_pathway_query_manifest_v1
41	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33::AD_up_mito	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	14	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	NA	astrocytes	Ast GRM3	Astrocytes	F_e33	Female	e33	AD_up_mito	up	estimable_validated	TRUE	6	6	0	6	588	testable_query	fine_deg_pathway_query_manifest_v1
42	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33::AD_down_mito	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	14	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	NA	astrocytes	Ast GRM3	Astrocytes	F_e33	Female	e33	AD_down_mito	down	estimable_validated	TRUE	1	1	0	1	588	query_below_minimum	fine_deg_pathway_query_manifest_v1
43	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4::AD_any_mito	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	15	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	NA	astrocytes	Ast GRM3	Astrocytes	F_e4	Female	e4	AD_any_mito	any	estimable_validated	TRUE	45	45	0	45	669	testable_query	fine_deg_pathway_query_manifest_v1
44	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4::AD_up_mito	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	15	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	NA	astrocytes	Ast GRM3	Astrocytes	F_e4	Female	e4	AD_up_mito	up	estimable_validated	TRUE	15	15	0	15	669	testable_query	fine_deg_pathway_query_manifest_v1
45	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4::AD_down_mito	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	15	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	NA	astrocytes	Ast GRM3	Astrocytes	F_e4	Female	e4	AD_down_mito	down	estimable_validated	TRUE	30	30	0	30	669	testable_query	fine_deg_pathway_query_manifest_v1
46	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2::AD_any_mito	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	16	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	NA	astrocytes	Ast GRM3	Astrocytes	M_e2	Male	e2	AD_any_mito	any	estimable_validated	TRUE	215	215	0	215	543	testable_query	fine_deg_pathway_query_manifest_v1
47	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2::AD_up_mito	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	16	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	NA	astrocytes	Ast GRM3	Astrocytes	M_e2	Male	e2	AD_up_mito	up	estimable_validated	TRUE	106	106	0	106	543	testable_query	fine_deg_pathway_query_manifest_v1
48	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2::AD_down_mito	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	16	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	NA	astrocytes	Ast GRM3	Astrocytes	M_e2	Male	e2	AD_down_mito	down	estimable_validated	TRUE	109	109	0	109	543	testable_query	fine_deg_pathway_query_manifest_v1
49	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33::AD_any_mito	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	17	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	NA	astrocytes	Ast GRM3	Astrocytes	M_e33	Male	e33	AD_any_mito	any	estimable_validated	TRUE	10	10	0	10	532	testable_query	fine_deg_pathway_query_manifest_v1
50	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33::AD_up_mito	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	17	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	NA	astrocytes	Ast GRM3	Astrocytes	M_e33	Male	e33	AD_up_mito	up	estimable_validated	TRUE	6	6	0	6	532	testable_query	fine_deg_pathway_query_manifest_v1
51	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33::AD_down_mito	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	17	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	NA	astrocytes	Ast GRM3	Astrocytes	M_e33	Male	e33	AD_down_mito	down	estimable_validated	TRUE	4	4	0	4	532	testable_query	fine_deg_pathway_query_manifest_v1
52	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4::AD_any_mito	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	18	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	NA	astrocytes	Ast GRM3	Astrocytes	M_e4	Male	e4	AD_any_mito	any	estimable_validated	TRUE	24	24	0	24	510	testable_query	fine_deg_pathway_query_manifest_v1
53	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4::AD_up_mito	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	18	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	NA	astrocytes	Ast GRM3	Astrocytes	M_e4	Male	e4	AD_up_mito	up	estimable_validated	TRUE	18	18	0	18	510	testable_query	fine_deg_pathway_query_manifest_v1
54	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4::AD_down_mito	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	18	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	NA	astrocytes	Ast GRM3	Astrocytes	M_e4	Male	e4	AD_down_mito	down	estimable_validated	TRUE	6	6	0	6	510	testable_query	fine_deg_pathway_query_manifest_v1
55	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2::AD_any_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	19	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e2	Female	e2	AD_any_mito	any	estimable_validated	TRUE	59	59	0	59	812	testable_query	fine_deg_pathway_query_manifest_v1
56	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2::AD_up_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	19	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e2	Female	e2	AD_up_mito	up	estimable_validated	TRUE	42	42	0	42	812	testable_query	fine_deg_pathway_query_manifest_v1
57	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2::AD_down_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	19	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e2	Female	e2	AD_down_mito	down	estimable_validated	TRUE	17	17	0	17	812	testable_query	fine_deg_pathway_query_manifest_v1
58	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33::AD_any_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	20	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e33	Female	e33	AD_any_mito	any	estimable_validated	TRUE	17	17	0	17	816	testable_query	fine_deg_pathway_query_manifest_v1
59	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33::AD_up_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	20	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e33	Female	e33	AD_up_mito	up	estimable_validated	TRUE	12	12	0	12	816	testable_query	fine_deg_pathway_query_manifest_v1
60	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33::AD_down_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	20	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e33	Female	e33	AD_down_mito	down	estimable_validated	TRUE	5	5	0	5	816	testable_query	fine_deg_pathway_query_manifest_v1
61	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4::AD_any_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	21	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e4	Female	e4	AD_any_mito	any	estimable_validated	TRUE	281	281	0	281	821	testable_query	fine_deg_pathway_query_manifest_v1
62	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4::AD_up_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	21	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e4	Female	e4	AD_up_mito	up	estimable_validated	TRUE	38	38	0	38	821	testable_query	fine_deg_pathway_query_manifest_v1
63	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4::AD_down_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	21	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	F_e4	Female	e4	AD_down_mito	down	estimable_validated	TRUE	243	243	0	243	821	testable_query	fine_deg_pathway_query_manifest_v1
64	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2::AD_any_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	22	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	M_e2	Male	e2	AD_any_mito	any	estimable_validated	TRUE	226	226	0	226	834	testable_query	fine_deg_pathway_query_manifest_v1
65	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2::AD_up_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	22	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	M_e2	Male	e2	AD_up_mito	up	estimable_validated	TRUE	54	54	0	54	834	testable_query	fine_deg_pathway_query_manifest_v1
66	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2::AD_down_mito	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	22	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	NA	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	M_e2	Male	e2	AD_down_mito	down	estimable_validated	TRUE	172	172	0	172	834	testable_query	fine_deg_pathway_query_manifest_v1
